antecedent,consequent,support,confidence,lift
{24746 92490},{51657 7190},0.024,0.919,37.441
{51657 92490},{24746 7190},0.025,0.883,37.089
{51657 24746 7190},{92490},0.023,0.958,37.177
{24746 92490 7190},{51657},0.023,0.978,37.622
{51657 92490 7190},{24746},0.024,0.938,37.111
{51657 24746 92490},{7190},0.024,0.938,36.757
{95398},{51657 24746 7190},0.026,0.853,36.949
{7190},{51657 24746 95398},0.026,0.886,36.806
{51657},{24746 95398 7190},0.026,0.869,37.247
{24746},{51657 95398 7190},0.025,0.894,37.16
{95398 7190},{51657 24746},0.025,0.912,37.139
{51657 95398},{24746 7190},0.026,0.886,37.182
{24746 95398},{51657 7190},0.025,0.912,37.139
{51657 7190},{24746 95398},0.025,0.921,37.139
{24746 7190},{51657 95398},0.024,0.949,37.182
{51657 24746},{95398 7190},0.025,0.921,37.139
{51657 95398 7190},{24746},0.024,0.939,37.16
{24746 95398 7190},{51657},0.023,0.969,37.247
{51657 24746 95398},{7190},0.024,0.939,36.806
{51657 24746 7190},{95398},0.023,0.979,36.949
{7190},{92490 95398 88631},0.026,0.857,37.514
{88631},{92490 95398 7190},0.025,0.882,37.423
{95398},{92490 7190 88631},0.026,0.826,36.526
{92490},{88631 95398 7190},0.026,0.849,36.769
{7190 88631},{92490 95398},0.024,0.918,36.681
{95398 7190},{92490 88631},0.025,0.882,37.423
{92490 7190},{95398 88631},0.024,0.9,37.4
{95398 88631},{92490 7190},0.024,0.909,37.4
{92490 88631},{95398 7190},0.024,0.928,37.423
{92490 95398},{7190 88631},0.025,0.874,36.681
{95398 7190 88631},{92490},0.023,0.947,36.769
{92490 7190 88631},{95398},0.023,0.968,36.526
{92490 95398 7190},{88631},0.024,0.928,37.423
{92490 95398 88631},{7190},0.023,0.957,37.514
{7190},{24746 92490 88631},0.026,0.838,37.477
{88631},{24746 92490 7190},0.025,0.863,38.165
{24746},{92490 7190 88631},0.025,0.846,37.431
{92490},{24746 7190 88631},0.026,0.83,36.725
{7190 88631},{24746 92490},0.024,0.898,37.315
{24746 7190},{92490 88631},0.024,0.898,38.085
{92490 7190},{24746 88631},0.024,0.88,37.323
{24746 88631},{92490 7190},0.024,0.907,37.323
{92490 88631},{24746 7190},0.024,0.907,38.085
{24746 92490},{7190 88631},0.024,0.889,37.315
{24746 7190 88631},{92490},0.023,0.946,36.725
{92490 7190 88631},{24746},0.023,0.946,37.431
{24746 92490 7190},{88631},0.023,0.946,38.165
{24746 92490 88631},{7190},0.022,0.957,37.477
{88631},{24746 95398 7190},0.025,0.892,38.233
{95398},{24746 7190 88631},0.026,0.835,36.931
{7190},{24746 95398 88631},0.026,0.867,37.531
{24746},{95398 7190 88631},0.025,0.875,37.892
{95398 88631},{24746 7190},0.024,0.919,38.587
{7190 88631},{24746 95398},0.024,0.929,37.452
{24746 88631},{95398 7190},0.024,0.938,37.838
{95398 7190},{24746 88631},0.025,0.892,37.838
{24746 95398},{7190 88631},0.025,0.892,37.452
{24746 7190},{95398 88631},0.024,0.929,38.587
{7190 95398 88631},{24746},0.023,0.958,37.892
{24746 95398 88631},{7190},0.023,0.958,37.531
{24746 7190 88631},{95398},0.023,0.978,36.931
{24746 95398 7190},{88631},0.023,0.948,38.233
{95398},{24746 92490 7190},0.026,0.835,36.931
{7190},{24746 92490 95398},0.026,0.867,36.757
{24746},{92490 95398 7190},0.025,0.875,37.111
{92490},{24746 95398 7190},0.026,0.858,36.79
{95398 7190},{24746 92490},0.025,0.892,37.074
{24746 95398},{92490 7190},0.025,0.892,36.703
{92490 95398},{24746 7190},0.025,0.883,37.089
{24746 7190},{92490 95398},0.024,0.929,37.089
{92490 7190},{24746 95398},0.024,0.91,36.703
{24746 92490},{95398 7190},0.024,0.919,37.074
{24746 95398 7190},{92490},0.023,0.948,36.79
{92490 95398 7190},{24746},0.024,0.938,37.111
{24746 92490 95398},{7190},0.024,0.938,36.757
{24746 92490 7190},{95398},0.023,0.978,36.931
{12305},{51657 92490 88631},0.037,0.597,26.146
{88631},{12305 92490 51657},0.025,0.902,36.739
{51657},{12305 92490 88631},0.026,0.86,37.234
{92490},{12305 51657 88631},0.026,0.868,37.586
{12305 88631},{51657 92490},0.024,0.929,37.118
{12305 51657},{92490 88631},0.025,0.885,37.519
{12305 92490},{51657 88631},0.025,0.885,37.136
{51657 88631},{12305 92490},0.024,0.939,37.136
{92490 88631},{12305 51657},0.024,0.948,37.519
{51657 92490},{12305 88631},0.025,0.893,37.118
{12305 51657 88631},{92490},0.023,0.968,37.586
{12305 92490 88631},{51657},0.023,0.968,37.234
{12305 92490 51657},{88631},0.025,0.911,36.739
{51657 92490 88631},{12305},0.023,0.979,26.146
{12305},{51657 95398 88631},0.037,0.604,25.879
{95398},{12305 51657 88631},0.026,0.853,36.949
{88631},{12305 51657 95398},0.025,0.912,36.775
{51657},{12305 95398 88631},0.026,0.869,37.247
{12305 95398},{51657 88631},0.026,0.877,36.831
{12305 88631},{51657 95398},0.024,0.939,36.806
{12305 51657},{95398 88631},0.025,0.894,37.16
{95398 88631},{12305 51657},0.024,0.939,37.16
{51657 95398},{12305 88631},0.026,0.886,36.806
{51657 88631},{12305 95398},0.024,0.949,36.831
{12305 95398 88631},{51657},0.023,0.969,37.247
{12305 51657 95398},{88631},0.025,0.912,36.775
{12305 51657 88631},{95398},0.023,0.979,36.949
{51657 95398 88631},{12305},0.023,0.969,25.879
{12305},{51657 24746 88631},0.037,0.591,25.862
{88631},{12305 24746 51657},0.025,0.892,37.452
{51657},{12305 24746 88631},0.026,0.85,37.222
{24746},{12305 51657 88631},0.025,0.875,37.892
{12305 88631},{51657 24746},0.024,0.919,37.441
{12305 51657},{24746 88631},0.025,0.875,37.111
{12305 24746},{51657 88631},0.025,0.901,37.823
{51657 88631},{12305 24746},0.024,0.929,37.823
{24746 88631},{12305 51657},0.024,0.938,37.111
{51657 24746},{12305 88631},0.025,0.901,37.441
{12305 51657 88631},{24746},0.023,0.958,37.892
{12305 24746 88631},{51657},0.023,0.968,37.222
{12305 24746 51657},{88631},0.024,0.929,37.452
{51657 24746 88631},{12305},0.023,0.968,25.862
{12305},{51657 92490 95398},0.037,0.643,26.185
{95398},{12305 92490 51657},0.026,0.908,36.996
{51657},{12305 92490 95398},0.026,0.925,37.687
{92490},{12305 51657 95398},0.026,0.934,37.67
{12305 95398},{51657 92490},0.026,0.934,37.304
{12305 51657},{92490 95398},0.025,0.952,38.021
{12305 92490},{51657 95398},0.025,0.952,37.297
{51657 95398},{12305 92490},0.026,0.943,37.297
{92490 95398},{12305 51657},0.025,0.961,38.021
{51657 92490},{12305 95398},0.025,0.961,37.304
{12305 51657 95398},{92490},0.025,0.971,37.67
{12305 92490 95398},{51657},0.025,0.98,37.687
{12305 92490 51657},{95398},0.025,0.98,36.996
{51657 92490 95398},{12305},0.025,0.98,26.185
{12305},{51657 24746 92490},0.037,0.617,26.163
{24746},{12305 92490 51657},0.025,0.913,37.208
{51657},{12305 24746 92490},0.026,0.888,37.656
{92490},{12305 24746 51657},0.026,0.896,37.623
{12305 24746},{51657 92490},0.025,0.941,37.569
{12305 51657},{24746 92490},0.025,0.913,37.959
{12305 92490},{51657 24746},0.025,0.913,37.208
{51657 24746},{12305 92490},0.025,0.941,37.208
{24746 92490},{12305 51657},0.024,0.96,37.959
{51657 92490},{12305 24746},0.025,0.922,37.569
{12305 24746 51657},{92490},0.024,0.969,37.623
{12305 24746 92490},{51657},0.024,0.979,37.656
{12305 92490 51657},{24746},0.025,0.941,37.208
{51657 24746 92490},{12305},0.024,0.979,26.163
{12305},{51657 24746 95398},0.037,0.623,25.905
{95398},{12305 24746 51657},0.026,0.881,36.973
{51657},{12305 24746 95398},0.026,0.897,37.283
{24746},{12305 51657 95398},0.025,0.923,37.231
{12305 95398},{51657 24746},0.026,0.906,36.89
{12305 51657},{24746 95398},0.025,0.923,37.231
{12305 24746},{51657 95398},0.025,0.95,37.241
{51657 95398},{12305 24746},0.026,0.914,37.241
{24746 95398},{12305 51657},0.025,0.941,37.231
{51657 24746},{12305 95398},0.025,0.95,36.89
{12305 51657 95398},{24746},0.025,0.941,37.231
{12305 24746 95398},{51657},0.024,0.97,37.283
{12305 24746 51657},{95398},0.024,0.98,36.973
{51657 24746 95398},{12305},0.024,0.97,25.905
{12305},{92490 95398 88631},0.037,0.597,26.146
{95398},{12305 92490 88631},0.026,0.844,36.551
{88631},{12305 92490 95398},0.025,0.902,36.739
{92490},{12305 95398 88631},0.026,0.868,37.194
{12305 95398},{92490 88631},0.026,0.868,36.811
{12305 88631},{92490 95398},0.024,0.929,37.118
{12305 92490},{95398 88631},0.025,0.885,36.761
{95398 88631},{12305 92490},0.024,0.929,36.761
{92490 95398},{12305 88631},0.025,0.893,37.118
{92490 88631},{12305 95398},0.024,0.948,36.811
{12305 95398 88631},{92490},0.023,0.958,37.194
{12305 92490 95398},{88631},0.025,0.911,36.739
{12305 92490 88631},{95398},0.023,0.968,36.551
{92490 95398 88631},{12305},0.023,0.979,26.146
{12305},{24746 92490 88631},0.037,0.584,26.134
{88631},{12305 24746 92490},0.025,0.882,37.423
{24746},{12305 92490 88631},0.025,0.865,37.476
{92490},{12305 24746 88631},0.026,0.849,37.16
{12305 88631},{24746 92490},0.024,0.909,37.778
{12305 24746},{92490 88631},0.025,0.891,37.793
{12305 92490},{24746 88631},0.025,0.865,36.703
{24746 88631},{12305 92490},0.024,0.928,36.703
{92490 88631},{12305 24746},0.024,0.928,37.793
{24746 92490},{12305 88631},0.024,0.909,37.778
{12305 24746 88631},{92490},0.023,0.957,37.16
{12305 92490 88631},{24746},0.023,0.947,37.476
{12305 24746 92490},{88631},0.024,0.928,37.423
{24746 92490 88631},{12305},0.022,0.978,26.134
{12305},{24746 95398 88631},0.037,0.597,25.871
{95398},{12305 24746 88631},0.026,0.844,36.94
{88631},{12305 24746 95398},0.025,0.902,37.481
{24746},{12305 95398 88631},0.025,0.885,37.909
{12305 95398},{24746 88631},0.026,0.868,36.811
{12305 88631},{24746 95398},0.024,0.929,37.481
{12305 24746},{95398 88631},0.025,0.911,37.853
{95398 88631},{12305 24746},0.024,0.929,37.853
{24746 95398},{12305 88631},0.025,0.902,37.481
{24746 88631},{12305 95398},0.024,0.948,36.811
{12305 95398 88631},{24746},0.023,0.958,37.909
{12305 24746 95398},{88631},0.024,0.929,37.481
{12305 24746 88631},{95398},0.023,0.979,36.94
{24746 95398 88631},{12305},0.023,0.968,25.871
{12305},{24746 92490 95398},0.037,0.617,26.163
{95398},{12305 24746 92490},0.026,0.872,36.965
{24746},{12305 92490 95398},0.025,0.913,37.208
{92490},{12305 24746 95398},0.026,0.896,37.243
{12305 95398},{24746 92490},0.026,0.896,37.243
{12305 24746},{92490 95398},0.025,0.941,37.569
{12305 92490},{24746 95398},0.025,0.913,36.843
{24746 95398},{12305 92490},0.025,0.931,36.843
{92490 95398},{12305 24746},0.025,0.922,37.569
{24746 92490},{12305 95398},0.024,0.96,37.243
{12305 24746 95398},{92490},0.024,0.96,37.243
{12305 92490 95398},{24746},0.025,0.941,37.208
{12305 24746 92490},{95398},0.024,0.979,36.965
{24746 92490 95398},{12305},0.024,0.979,26.163
{95398},{51657 92490 88631},0.026,0.844,36.94
{88631},{51657 92490 95398},0.025,0.902,36.739
{51657},{92490 95398 88631},0.026,0.86,37.631
{92490},{51657 95398 88631},0.026,0.868,37.194
{95398 88631},{51657 92490},0.024,0.929,37.118
{51657 95398},{92490 88631},0.026,0.876,37.161
{92490 95398},{51657 88631},0.025,0.893,37.496
{51657 88631},{92490 95398},0.024,0.939,37.496
{92490 88631},{51657 95398},0.024,0.948,37.161
{51657 92490},{95398 88631},0.025,0.893,37.118
{51657 95398 88631},{92490},0.023,0.958,37.194
{92490 95398 88631},{51657},0.023,0.979,37.631
{51657 92490 95398},{88631},0.025,0.911,36.739
{51657 92490 88631},{95398},0.023,0.979,36.94
{88631},{51657 24746 92490},0.025,0.882,37.423
{24746},{51657 92490 88631},0.025,0.865,37.874
{51657},{24746 92490 88631},0.026,0.841,37.613
{92490},{51657 24746 88631},0.026,0.849,37.16
{24746 88631},{51657 92490},0.024,0.928,37.059
{51657 88631},{24746 92490},0.024,0.918,38.163
{92490 88631},{51657 24746},0.024,0.928,37.793
{51657 24746},{92490 88631},0.025,0.891,37.793
{24746 92490},{51657 88631},0.024,0.909,38.163
{51657 92490},{24746 88631},0.025,0.874,37.059
{51657 24746 88631},{92490},0.023,0.957,37.16
{24746 92490 88631},{51657},0.022,0.978,37.613
{51657 92490 88631},{24746},0.023,0.957,37.874
{51657 24746 92490},{88631},0.024,0.928,37.423
{95398},{51657 24746 88631},0.026,0.844,36.94
{88631},{51657 24746 95398},0.025,0.902,37.481
{51657},{24746 95398 88631},0.026,0.86,37.234
{24746},{51657 95398 88631},0.025,0.885,37.909
{95398 88631},{51657 24746},0.024,0.929,37.853
{51657 95398},{24746 88631},0.026,0.876,37.161
{24746 95398},{51657 88631},0.025,0.902,37.864
{51657 88631},{24746 95398},0.024,0.939,37.864
{24746 88631},{51657 95398},0.024,0.948,37.161
{51657 24746},{95398 88631},0.025,0.911,37.853
{51657 95398 88631},{24746},0.023,0.958,37.909
{24746 95398 88631},{51657},0.023,0.968,37.234
{51657 24746 95398},{88631},0.024,0.929,37.481
{51657 24746 88631},{95398},0.023,0.979,36.94
{95398},{51657 24746 92490},0.026,0.872,36.965
{24746},{51657 92490 95398},0.025,0.913,37.208
{51657},{24746 92490 95398},0.026,0.888,37.656
{92490},{51657 24746 95398},0.026,0.896,37.243
{24746 95398},{51657 92490},0.025,0.931,37.201
{51657 95398},{24746 92490},0.026,0.905,37.598
{92490 95398},{51657 24746},0.025,0.922,37.569
{51657 24746},{92490 95398},0.025,0.941,37.569
{24746 92490},{51657 95398},0.024,0.96,37.598
{51657 92490},{24746 95398},0.025,0.922,37.201
{51657 24746 95398},{92490},0.024,0.96,37.243
{24746 92490 95398},{51657},0.024,0.979,37.656
{51657 92490 95398},{24746},0.025,0.941,37.208
{51657 24746 92490},{95398},0.024,0.979,36.965
{95398},{24746 92490 88631},0.026,0.826,36.923
{88631},{24746 92490 95398},0.025,0.882,37.423
{24746},{92490 95398 88631},0.025,0.865,37.874
{92490},{24746 95398 88631},0.026,0.849,36.769
{95398 88631},{24746 92490},0.024,0.909,37.778
{24746 95398},{92490 88631},0.025,0.882,37.423
{92490 95398},{24746 88631},0.025,0.874,37.059
{24746 88631},{92490 95398},0.024,0.928,37.059
{92490 88631},{24746 95398},0.024,0.928,37.423
{24746 92490},{95398 88631},0.024,0.909,37.778
{24746 95398 88631},{92490},0.023,0.947,36.769
{92490 95398 88631},{24746},0.023,0.957,37.874
{24746 92490 95398},{88631},0.024,0.928,37.423
{24746 92490 88631},{95398},0.022,0.978,36.923
{51657},{12305 92490 7190 88631},0.026,0.822,37.181
{92490},{12305 51657 7190 88631},0.026,0.83,37.532
{12305},{51657 92490 7190 88631},0.037,0.571,26.121
{7190},{12305 92490 51657 88631},0.026,0.838,37.477
{88631},{12305 92490 51657 7190},0.025,0.863,37.361
{51657 92490},{12305 7190 88631},0.025,0.854,36.999
{51657 12305},{92490 7190 88631},0.025,0.846,37.431
{51657 7190},{12305 92490 88631},0.025,0.871,37.731
{51657 88631},{12305 92490 7190},0.024,0.898,37.696
{12305 92490},{51657 7190 88631},0.025,0.846,37.033
{92490 7190},{12305 51657 88631},0.024,0.88,38.109
{92490 88631},{12305 51657 7190},0.024,0.907,38.085
{12305 7190},{51657 92490 88631},0.025,0.863,37.759
{12305 88631},{51657 92490 7190},0.024,0.889,37.7
{7190 88631},{12305 92490 51657},0.024,0.898,36.576
{51657 92490 12305},{7190 88631},0.025,0.871,36.576
{51657 92490 7190},{12305 88631},0.024,0.907,37.7
{51657 92490 88631},{12305 7190},0.023,0.936,37.759
{51657 12305 7190},{92490 88631},0.024,0.898,38.085
{51657 12305 88631},{92490 7190},0.023,0.926,38.109
{51657 7190 88631},{12305 92490},0.023,0.936,37.033
{12305 92490 7190},{51657 88631},0.024,0.898,37.696
{12305 92490 88631},{51657 7190},0.023,0.926,37.731
{92490 7190 88631},{12305 51657},0.023,0.946,37.431
{12305 7190 88631},{51657 92490},0.023,0.926,36.999
{51657 92490 12305 7190},{88631},0.023,0.926,37.361
{51657 92490 12305 88631},{7190},0.022,0.957,37.477
{51657 92490 7190 88631},{12305},0.022,0.978,26.121
{51657 88631 12305 7190},{92490},0.022,0.967,37.532
{12305 92490 7190 88631},{51657},0.022,0.967,37.181
{95398},{12305 51657 7190 88631},0.026,0.817,36.914
{51657},{12305 7190 95398 88631},0.026,0.832,37.195
{12305},{51657 7190 95398 88631},0.037,0.578,25.843
{7190},{12305 51657 95398 88631},0.026,0.848,37.496
{88631},{12305 51657 95398 7190},0.025,0.873,37.392
{51657 95398},{12305 7190 88631},0.026,0.848,36.706
{12305 95398},{51657 7190 88631},0.026,0.84,36.747
{95398 7190},{12305 51657 88631},0.025,0.873,37.786
{95398 88631},{12305 51657 7190},0.024,0.899,37.739
{51657 12305},{7190 95398 88631},0.025,0.856,37.059
{51657 7190},{12305 95398 88631},0.025,0.881,37.763
{51657 88631},{12305 95398 7190},0.024,0.908,37.739
{12305 7190},{51657 95398 88631},0.025,0.873,37.392
{12305 88631},{51657 95398 7190},0.024,0.899,37.358
{7190 88631},{12305 51657 95398},0.024,0.908,36.629
{51657 12305 95398},{7190 88631},0.025,0.873,36.629
{51657 95398 7190},{12305 88631},0.024,0.899,37.358
{51657 95398 88631},{12305 7190},0.023,0.927,37.392
{12305 95398 7190},{51657 88631},0.024,0.899,37.739
{12305 95398 88631},{51657 7190},0.023,0.927,37.763
{88631 95398 7190},{12305 51657},0.023,0.937,37.059
{51657 12305 7190},{95398 88631},0.024,0.908,37.739
{51657 12305 88631},{95398 7190},0.023,0.937,37.786
{51657 7190 88631},{12305 95398},0.023,0.947,36.747
{12305 7190 88631},{51657 95398},0.023,0.937,36.706
{51657 12305 95398 7190},{88631},0.023,0.927,37.392
{51657 12305 95398 88631},{7190},0.023,0.957,37.496
{51657 88631 95398 7190},{12305},0.022,0.967,25.843
{12305 88631 95398 7190},{51657},0.022,0.967,37.195
{51657 88631 12305 7190},{95398},0.022,0.978,36.914
{51657},{12305 24746 7190 88631},0.026,0.813,37.167
{24746},{12305 51657 7190 88631},0.025,0.837,37.819
{12305},{51657 24746 7190 88631},0.037,0.565,25.824
{7190},{12305 24746 51657 88631},0.026,0.829,37.459
{88631},{12305 24746 51657 7190},0.025,0.853,38.141
{51657 24746},{12305 7190 88631},0.025,0.861,37.303
{51657 12305},{24746 7190 88631},0.025,0.837,37.006
{51657 7190},{12305 24746 88631},0.025,0.861,37.699
{51657 88631},{12305 24746 7190},0.024,0.888,38.444
{12305 24746},{51657 7190 88631},0.025,0.861,37.699
{24746 7190},{12305 51657 88631},0.024,0.888,38.444
{24746 88631},{12305 51657 7190},0.024,0.897,37.652
{12305 7190},{51657 24746 88631},0.025,0.853,37.33
{12305 88631},{51657 24746 7190},0.024,0.879,38.056
{7190 88631},{12305 24746 51657},0.024,0.888,37.268
{51657 24746 12305},{7190 88631},0.024,0.888,37.268
{51657 24746 7190},{12305 88631},0.023,0.916,38.056
{51657 24746 88631},{12305 7190},0.023,0.926,37.33
{51657 12305 7190},{24746 88631},0.024,0.888,37.652
{51657 12305 88631},{24746 7190},0.023,0.916,38.444
{51657 7190 88631},{12305 24746},0.023,0.926,37.699
{12305 24746 7190},{51657 88631},0.023,0.916,38.444
{12305 24746 88631},{51657 7190},0.023,0.926,37.699
{24746 7190 88631},{12305 51657},0.023,0.935,37.006
{12305 7190 88631},{51657 24746},0.023,0.916,37.303
{51657 24746 12305 7190},{88631},0.022,0.946,38.141
{51657 24746 12305 88631},{7190},0.022,0.956,37.459
{51657 24746 7190 88631},{12305},0.022,0.967,25.824
{51657 88631 12305 7190},{24746},0.022,0.956,37.819
{12305 24746 7190 88631},{51657},0.022,0.967,37.167
{95398},{12305 92490 51657 7190},0.026,0.853,36.949
{51657},{12305 92490 95398 7190},0.026,0.869,37.639
{92490},{12305 51657 95398 7190},0.026,0.877,37.598
{12305},{51657 92490 95398 7190},0.037,0.604,26.152
{7190},{12305 92490 51657 95398},0.026,0.886,36.806
{51657 95398},{12305 92490 7190},0.026,0.886,37.182
{92490 95398},{12305 51657 7190},0.025,0.903,37.904
{12305 95398},{51657 92490 7190},0.026,0.877,37.211
{95398 7190},{12305 92490 51657},0.025,0.912,37.139
{51657 92490},{12305 95398 7190},0.025,0.903,37.521
{51657 12305},{92490 95398 7190},0.025,0.894,37.926
{51657 7190},{12305 92490 95398},0.025,0.921,37.506
{12305 92490},{51657 95398 7190},0.025,0.894,37.16
{92490 7190},{12305 51657 95398},0.024,0.93,37.51
{12305 7190},{51657 92490 95398},0.025,0.912,37.139
{51657 92490 95398},{12305 7190},0.025,0.921,37.139
{51657 12305 95398},{92490 7190},0.025,0.912,37.51
{51657 95398 7190},{12305 92490},0.024,0.939,37.16
{12305 92490 95398},{51657 7190},0.025,0.921,37.506
{92490 95398 7190},{12305 51657},0.024,0.959,37.926
{12305 95398 7190},{51657 92490},0.024,0.939,37.521
{51657 92490 12305},{95398 7190},0.025,0.921,37.139
{51657 92490 7190},{12305 95398},0.024,0.959,37.211
{51657 12305 7190},{92490 95398},0.024,0.949,37.904
{12305 92490 7190},{51657 95398},0.024,0.949,37.182
{51657 92490 12305 95398},{7190},0.024,0.939,36.806
{51657 92490 95398 7190},{12305},0.023,0.979,26.152
{51657 12305 95398 7190},{92490},0.023,0.969,37.598
{12305 92490 95398 7190},{51657},0.023,0.979,37.639
{51657 92490 12305 7190},{95398},0.023,0.979,36.949
{51657},{12305 24746 92490 7190},0.026,0.832,37.604
{92490},{12305 24746 51657 7190},0.026,0.84,37.546
{24746},{12305 92490 51657 7190},0.025,0.856,37.059
{12305},{51657 24746 92490 7190},0.037,0.578,26.127
{7190},{12305 24746 51657 92490},0.026,0.848,36.706
{51657 92490},{12305 24746 7190},0.025,0.864,37.419
{51657 24746},{12305 92490 7190},0.025,0.881,36.992
{51657 12305},{24746 92490 7190},0.025,0.856,37.856
{51657 7190},{12305 24746 92490},0.025,0.881,37.373
{24746 92490},{12305 51657 7190},0.024,0.899,37.739
{12305 92490},{51657 24746 7190},0.025,0.856,37.059
{92490 7190},{12305 24746 51657},0.024,0.89,37.362
{12305 24746},{51657 92490 7190},0.025,0.881,37.373
{24746 7190},{12305 92490 51657},0.024,0.908,36.992
{12305 7190},{51657 24746 92490},0.025,0.873,37.007
{24746 51657 92490},{12305 7190},0.024,0.918,37.007
{51657 92490 12305},{24746 7190},0.025,0.881,36.992
{51657 92490 7190},{12305 24746},0.024,0.918,37.373
{51657 24746 12305},{92490 7190},0.024,0.908,37.362
{51657 24746 7190},{12305 92490},0.023,0.937,37.059
{51657 12305 7190},{24746 92490},0.024,0.908,37.739
{24746 12305 92490},{51657 7190},0.024,0.918,37.373
{24746 92490 7190},{12305 51657},0.023,0.957,37.856
{12305 92490 7190},{51657 24746},0.024,0.908,36.992
{12305 24746 7190},{51657 92490},0.023,0.937,37.419
{24746 51657 92490 12305},{7190},0.023,0.937,36.706
{24746 51657 92490 7190},{12305},0.022,0.978,26.127
{51657 92490 12305 7190},{24746},0.023,0.937,37.059
{51657 24746 12305 7190},{92490},0.022,0.967,37.546
{24746 12305 92490 7190},{51657},0.022,0.978,37.604
{95398},{12305 24746 51657 7190},0.026,0.826,36.923
{51657},{12305 24746 95398 7190},0.026,0.841,37.208
{24746},{12305 51657 95398 7190},0.025,0.865,37.085
{12305},{51657 24746 95398 7190},0.037,0.584,25.853
{7190},{12305 24746 51657 95398},0.026,0.857,36.732
{51657 95398},{12305 24746 7190},0.026,0.857,37.119
{24746 95398},{12305 51657 7190},0.025,0.882,37.041
{12305 95398},{51657 24746 7190},0.026,0.849,36.769
{95398 7190},{12305 24746 51657},0.025,0.882,37.041
{51657 24746},{12305 95398 7190},0.025,0.891,37.03
{51657 12305},{24746 95398 7190},0.025,0.865,37.085
{51657 7190},{12305 24746 95398},0.025,0.891,37.03
{12305 24746},{51657 95398 7190},0.025,0.891,37.03
{24746 7190},{12305 51657 95398},0.024,0.918,37.041
{12305 7190},{51657 24746 95398},0.025,0.882,36.667
{51657 24746 95398},{12305 7190},0.024,0.909,36.667
{51657 12305 95398},{24746 7190},0.025,0.882,37.041
{51657 95398 7190},{12305 24746},0.024,0.909,37.03
{12305 24746 95398},{51657 7190},0.024,0.909,37.03
{24746 95398 7190},{12305 51657},0.023,0.938,37.085
{12305 95398 7190},{51657 24746},0.024,0.909,37.03
{51657 24746 12305},{95398 7190},0.024,0.918,37.041
{51657 24746 7190},{12305 95398},0.023,0.947,36.769
{51657 12305 7190},{24746 95398},0.024,0.918,37.041
{12305 24746 7190},{51657 95398},0.023,0.947,37.119
{51657 24746 12305 95398},{7190},0.023,0.938,36.732
{51657 24746 95398 7190},{12305},0.023,0.968,25.853
{51657 12305 95398 7190},{24746},0.023,0.938,37.085
{12305 24746 95398 7190},{51657},0.023,0.968,37.208
{51657 24746 12305 7190},{95398},0.022,0.978,36.923
{95398},{12305 92490 7190 88631},0.026,0.807,36.499
{92490},{12305 7190 95398 88631},0.026,0.83,37.124
{12305},{92490 7190 95398 88631},0.037,0.571,26.121
{7190},{12305 92490 95398 88631},0.026,0.838,37.477
{88631},{12305 92490 95398 7190},0.025,0.863,37.361
{92490 95398},{12305 7190 88631},0.025,0.854,36.999
{12305 95398},{92490 7190 88631},0.026,0.83,36.725
{95398 7190},{12305 92490 88631},0.025,0.863,37.361
{95398 88631},{12305 92490 7190},0.024,0.889,37.315
{12305 92490},{7190 95398 88631},0.025,0.846,36.643
{92490 7190},{12305 95398 88631},0.024,0.88,37.712
{92490 88631},{12305 95398 7190},0.024,0.907,37.7
{12305 7190},{92490 95398 88631},0.025,0.863,37.759
{12305 88631},{92490 95398 7190},0.024,0.889,37.7
{7190 88631},{12305 92490 95398},0.024,0.898,36.576
{12305 92490 95398},{7190 88631},0.025,0.871,36.576
{92490 95398 7190},{12305 88631},0.024,0.907,37.7
{92490 95398 88631},{12305 7190},0.023,0.936,37.759
{12305 95398 7190},{92490 88631},0.024,0.889,37.7
{12305 95398 88631},{92490 7190},0.023,0.917,37.712
{88631 95398 7190},{12305 92490},0.023,0.926,36.643
{12305 92490 7190},{95398 88631},0.024,0.898,37.315
{12305 92490 88631},{95398 7190},0.023,0.926,37.361
{92490 7190 88631},{12305 95398},0.023,0.946,36.725
{12305 7190 88631},{92490 95398},0.023,0.926,36.999
{12305 92490 95398 7190},{88631},0.023,0.926,37.361
{12305 92490 95398 88631},{7190},0.022,0.957,37.477
{92490 88631 95398 7190},{12305},0.022,0.978,26.121
{12305 88631 95398 7190},{92490},0.022,0.957,37.124
{12305 92490 7190 88631},{95398},0.022,0.967,36.499
{92490},{12305 24746 7190 88631},0.026,0.811,37.086
{24746},{12305 92490 7190 88631},0.025,0.827,37.384
{12305},{24746 92490 7190 88631},0.037,0.558,26.107
{7190},{12305 24746 92490 88631},0.026,0.819,37.44
{88631},{12305 24746 92490 7190},0.025,0.843,38.117
{24746 92490},{12305 7190 88631},0.024,0.869,37.619
{12305 92490},{24746 7190 88631},0.025,0.827,36.58
{92490 7190},{12305 24746 88631},0.024,0.86,37.639
{92490 88631},{12305 24746 7190},0.024,0.887,38.394
{12305 24746},{92490 7190 88631},0.025,0.851,37.667
{24746 7190},{12305 92490 88631},0.024,0.878,38.003
{24746 88631},{12305 92490 7190},0.024,0.887,37.219
{12305 7190},{24746 92490 88631},0.025,0.843,37.703
{12305 88631},{24746 92490 7190},0.024,0.869,38.428
{7190 88631},{12305 24746 92490},0.024,0.878,37.219
